row_num,nsn,mil_spec,nomenclature,tech_docs,solicitation,status,purchase_request,qty,issued,return_by
100,6515-01-615-6315,,"NEEDLE, INTRAOSSEOUS",None,SPE2DS-26-T-262P,Open,7017598164,1,07-23-2026,07-28-2026
101,6515-01-615-6315,,"NEEDLE, INTRAOSSEOUS",None,SPE2DS-26-T-262P,Open,7017584413,2,07-23-2026,07-28-2026
102,6515-01-615-6315,,"NEEDLE, INTRAOSSEOUS",None,SPE2DS-26-T-262P,Open,7017583131,20,07-23-2026,07-28-2026
103,6515-01-477-0878,,HEAT AND MOISTURE E,None,SPE2DS-26-T-262Q,Open,7017583133,4,07-23-2026,07-28-2026
104,6515-01-716-9209,,"MONITORING KIT, BLOOD P",None,SPE2DS-26-T-262R,Open,7017583130,4,07-23-2026,07-28-2026
105,6515-01-716-9209,,"MONITORING KIT, BLOOD P",None,SPE2DS-26-T-262R,Open,7017590017,1,07-23-2026,07-28-2026
106,6515-01-716-9209,,"MONITORING KIT, BLOOD P",None,SPE2DS-26-T-262R,Open,7017596852,2,07-23-2026,07-28-2026
107,6515-01-716-9209,,"MONITORING KIT, BLOOD P",None,SPE2DS-26-T-262R,Open,7017596838,2,07-23-2026,07-28-2026
108,4110-01-632-3232,,SENSOR CABINET,None,SPE3SE-26-T-1047,Open,7017574131,1,07-23-2026,07-27-2026
109,4110-01-566-3460,,"REFRIGERATOR, MECHAN",None,SPE3SE-26-T-1049,Open,7017574196,1,07-23-2026,07-27-2026
110,4110-01-453-2373,,"ICE MAKING MACHINE,",None,SPE3SE-26-T-1050,Open,7017576208,1,07-23-2026,07-27-2026
111,5340-01-102-6047,,"CLIP, RETAINING",None,SPE4A5-26-T-304V,Open,7017586003,1698,07-23-2026,07-30-2026
112,5995-01-576-3900,,"CABLE ASSEMBLY, FIBE",None,SPE4A5-26-T-304X,Open,7017571640,5,07-23-2026,07-30-2026
113,5995-01-576-3901,,"CABLE ASSEMBLY, FIBE",None,SPE4A5-26-T-304Y,Open,7017571641,5,07-23-2026,07-30-2026
114,5995-01-091-6410,,"CABLE ASSEMBLY, SPECIAL",Tech Docs,SPE4A6-26-Q-1200,Open,7017572408,6,07-22-2026,07-30-2026
115,0001S00000061,,PRODUCTION LOT TESTING,None,SPE4A6-26-Q-1200,Open,7017572408,See Solicitation,07-22-2026,07-30-2026
